UBIGEO,POB_TOTAL,POB_URBANA,POB_RURAL,GPC_DOM,QRESIDUOS_DOM,QRESIDUOS_NO_DOM,QRESIDUOS_MUN,PERIODO
10101,28423,27548,875,0.48,4857.5,2081.78,6939.28,2014
10102,291,151,140,0.61,33.56,14.38,47.95,2014
10103,1615,299,1316,0.45,48.96,20.98,69.95,2014
10104,597,388,209,0.45,63.59,27.25,90.84,2014
10105,737,197,540,0.45,32.38,13.88,46.26,2014
10106,2096,630,1466,0.45,103.25,44.25,147.5,2014
10107,395,133,262,0.61,29.46,12.63,42.09,2014
10108,1240,1231,9,0.45,201.84,86.5,288.34,2014
10109,5551,2442,3109,0.61,542.65,232.56,775.22,2014
10110,4200,1991,2209,0.61,442.34,189.58,631.92,2014
10111,893,458,435,0.45,75.16,32.21,107.37,2014
10112,815,643,172,0.61,142.82,61.21,204.03,2014
10113,1034,498,536,0.61,110.62,47.41,158.03,2014
10114,2737,720,2017,0.56,147.94,63.4,211.35,2014
10115,608,545,63,0.61,121.03,51.87,172.89,2014
10116,365,107,258,0.61,23.76,10.18,33.94,2014
10117,865,132,733,0.61,29.43,12.61,42.04,2014
10118,347,262,85,0.61,58.21,24.95,83.16,2014
10119,712,491,221,0.61,109.09,46.75,155.84,2014
10120,1346,284,1062,0.61,63.08,27.03,90.11,2014
10121,224,100,124,0.61,22.27,9.54,31.81,2014
10201,26017,23083,2934,0.49,4099.31,1756.85,5856.16,2014
10202,11221,2606,8615,0.58,551.62,236.41,788.03,2014
10203,6389,1933,4456,0.61,429.47,184.06,613.53,2014
10204,1466,749,717,0.61,166.46,71.34,237.8,2014
10205,24029,3140,20889,0.61,697.83,299.07,996.9,2014
10206,8013,4549,3464,0.45,747.16,320.21,1067.37,2014
10301,1744,1539,205,0.73,410.19,175.8,585.99,2014
10302,341,138,203,0.61,30.66,13.14,43.8,2014
10303,273,249,24,0.61,55.31,23.7,79.02,2014
10304,990,139,851,0.61,30.9,13.24,44.14,2014
10305,891,415,476,0.61,92.16,39.5,131.66,2014
10306,8257,4755,3502,0.56,971.96,416.56,1388.52,2014
10307,9253,7585,1668,0.46,1273.52,545.79,1819.31,2014
10308,211,73,138,0.61,16.24,6.96,23.2,2014
10309,327,263,64,0.61,58.41,25.03,83.44,2014
10310,1744,1018,726,0.61,226.21,96.95,323.15,2014
10311,1295,437,858,0.61,97.14,41.63,138.77,2014
10312,8070,2983,5087,0.61,662.93,284.11,947.04,2014
10401,28116,4147,23969,0.59,892.99,382.71,1275.7,2014
10402,9513,1216,8297,0.61,270.16,115.78,385.95,2014
10403,16282,2709,13573,0.61,601.86,257.94,859.79,2014
10501,2330,2020,310,0.66,486.51,208.5,695.01,2014
10502,7006,4431,2575,0.61,984.66,422,1406.66,2014
10503,2492,359,2133,0.61,79.85,34.22,114.07,2014
10504,2326,1354,972,0.45,222.02,95.15,317.17,2014
10505,2102,1233,869,0.61,274.09,117.47,391.56,2014
10506,622,367,255,0.45,60.26,25.83,86.09,2014
